tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;snow;snowdepth;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;moonphase
13.6;7.9;9.9;13.6;4.4;7.9;7.7;85.8;0.206;100;12.5;0.0;0.0;38.2;244.8;1019.7;81.5;16.6;39.7;3.4;3;0.06
10.8;5.3;7.7;10.8;1.7;5.1;4.4;80.3;0.0;0;0.0;0.0;0.0;33.6;258.1;1022.5;62.3;19.2;44.9;3.8;2;0.09
16.0;6.7;12.4;16.0;5.3;12.0;10.3;87.5;1.716;100;8.33;0.0;0.0;28.7;213.3;1017.9;88.4;21.3;28.0;2.4;2;0.12
13.9;9.5;12.2;13.9;8.5;12.2;9.8;85.1;0.162;100;8.33;0.0;0.0;25.7;233.5;1017.1;82.2;18.0;35.6;3.1;2;0.16
11.5;7.6;9.4;11.5;6.2;8.8;7.4;87.2;0.0;0;0.0;0.0;0.0;14.4;230.7;1021.8;86.5;17.9;28.9;2.5;2;0.19
13.8;4.7;10.9;13.8;2.8;10.6;8.5;85.5;0.153;100;4.17;0.0;0.0;35.5;166.1;1015.0;84.7;16.6;44.3;3.8;3;0.25
12.8;10.2;11.3;12.8;10.2;11.3;8.8;84.7;1.82;100;12.5;0.0;0.0;35.4;248.7;1004.2;85.3;14.5;31.8;2.7;2;0.26
12.0;9.8;10.9;12.0;7.3;10.5;9.6;91.8;0.002;100;8.33;0.0;0.0;27.8;256.4;1017.9;90.7;16.3;28.3;2.3;2;0.3
14.4;7.8;11.0;14.4;6.5;10.8;10.2;94.6;0.002;100;8.33;0.0;0.0;9.4;164.9;1023.4;75.1;10.8;22.6;2.0;1;0.33
12.0;7.2;10.0;12.0;5.9;9.4;8.7;92.0;0.009;100;8.33;0.0;0.0;16.1;273.8;1026.1;89.1;18.1;27.5;2.3;1;0.37
10.8;7.6;9.0;10.8;4.8;7.3;6.5;84.6;0.026;100;4.17;0.0;0.0;23.9;233.0;1019.5;78.7;17.4;20.4;1.7;1;0.4
10.9;7.0;9.0;10.9;3.7;7.1;5.9;81.2;0.001;100;4.17;0.0;0.0;23.8;241.1;1023.0;77.0;16.1;27.0;2.3;1;0.44
13.1;10.5;12.1;13.1;10.5;12.1;10.4;89.1;0.031;100;8.33;0.0;0.0;27.0;240.8;1025.7;89.0;16.4;24.2;2.1;1;0.47
12.0;9.3;10.7;12.0;7.7;10.3;8.3;85.3;0.007;100;4.17;0.0;0.0;18.6;231.3;1028.1;74.9;19.0;32.1;2.7;2;0.5
11.3;3.7;8.9;11.3;0.3;7.1;6.3;83.6;0.549;100;12.5;0.0;0.0;28.1;259.2;1023.6;73.5;18.4;33.8;3.0;3;0.54
7.4;0.9;3.9;3.7;-3.0;0.2;1.5;84.9;0.001;100;4.17;0.0;0.0;27.8;318.9;1026.6;26.9;21.1;29.8;2.7;2;0.57
7.6;-1.0;2.2;5.8;-4.7;-0.7;1.0;92.0;0.0;0;0.0;0.0;0.0;14.5;290.1;1034.3;25.7;21.4;31.2;2.8;2;0.6
6.9;0.2;5.0;4.8;-3.0;2.6;3.5;89.8;0.0;0;0.0;0.0;0.0;14.8;271.8;1034.1;86.4;19.1;13.6;1.1;1;0.64
7.0;1.0;4.3;3.9;-3.7;0.9;2.7;89.4;0.388;100;4.17;0.0;0.0;19.8;263.3;1022.3;67.1;17.3;15.7;1.4;1;0.67
6.0;1.3;3.3;2.5;-3.7;-0.9;1.2;86.3;0.024;100;4.17;0.0;0.0;24.7;276.8;1021.2;72.5;16.5;27.7;2.4;2;0.7
7.8;2.2;5.3;3.3;-4.1;0.2;2.4;81.3;0.735;100;12.5;0.0;0.0;40.4;295.0;1000.9;62.9;17.2;21.3;1.9;1;0.74
4.7;0.6;2.7;-0.2;-4.5;-2.6;-1.4;74.6;0.0;0;0.0;0.0;0.0;40.0;325.6;1010.9;49.6;23.0;22.5;1.8;1;0.75
4.7;0.1;2.4;1.5;-4.6;-1.4;1.4;93.0;0.009;100;8.33;0.0;0.0;21.5;266.2;1011.1;78.8;15.3;21.0;1.7;1;0.81
8.9;1.4;6.0;5.8;-2.2;2.9;5.1;94.3;0.01;100;8.33;0.0;0.0;29.9;250.3;1014.1;85.6;11.5;14.8;1.3;1;0.84
10.8;8.8;9.6;10.8;4.2;6.6;8.5;93.3;2.33;100;12.5;0.0;0.0;41.4;254.1;1007.4;92.0;12.3;18.0;1.7;1;0.87
7.9;1.8;5.6;3.6;-2.7;1.0;3.3;85.4;2.752;100;8.33;0.0;0.0;42.4;288.9;1005.1;69.9;19.6;17.0;1.5;1;0.91
7.4;0.9;3.5;3.7;-3.8;-0.2;2.2;91.4;0.007;100;8.33;0.0;0.0;23.0;256.6;1013.8;76.4;16.6;26.0;2.2;1;0.94
9.0;6.1;7.1;5.9;2.7;4.4;5.8;91.8;7.83;100;8.33;0.0;0.0;27.7;247.0;1001.8;91.4;15.1;10.0;1.0;1;0.97
5.9;1.7;3.6;1.5;-3.7;-1.8;1.2;84.6;0.948;100;8.33;0.0;0.0;38.6;269.6;1000.2;46.1;18.8;23.5;2.0;2;0.0
6.3;0.8;2.9;3.7;-3.8;-0.8;1.3;89.1;0.001;100;4.17;0.0;0.0;27.8;269.1;1014.7;44.2;19.8;24.8;2.1;2;0.04
7.1;2.1;4.7;3.6;-2.8;0.6;2.3;84.5;1.841;100;8.33;0.0;0.0;29.9;235.3;1006.1;56.4;15.9;20.0;1.5;1;0.07
8.1;2.1;5.2;3.7;-3.8;0.3;2.6;83.5;8.215;100;8.33;0.0;0.0;49.3;189.9;978.2;89.7;12.2;13.4;1.1;1;0.11
5.8;2.3;4.2;-0.4;-4.7;-2.2;1.3;82.2;7.353;100;12.5;0.0;0.0;57.2;271.5;985.5;77.8;13.7;10.9;0.8;1;0.14
9.0;2.9;5.5;6.0;-2.6;1.5;3.5;86.8;0.349;100;8.33;0.0;0.0;33.5;249.2;995.8;74.5;16.7;17.5;1.5;1;0.17
5.6;1.1;3.4;1.7;-4.2;-1.2;1.3;86.1;0.002;100;4.17;0.0;0.0;28.2;254.2;1003.0;37.2;18.8;21.3;1.7;1;0.21
12.8;5.1;9.4;12.8;2.3;8.3;7.9;90.7;0.781;100;8.33;0.0;0.0;23.4;211.4;1009.0;90.3;12.6;14.7;1.3;1;0.25
13.0;8.8;10.9;13.0;5.2;10.3;8.8;87.2;0.875;100;8.33;0.0;0.0;40.4;205.8;1009.9;86.4;15.0;25.1;2.2;2;0.27
7.8;0.9;5.4;6.7;-2.3;3.7;3.7;89.1;0.024;100;4.17;0.0;0.0;22.3;241.7;1018.9;74.6;19.9;11.9;0.9;1;0.31
8.9;-0.5;5.7;6.2;-3.3;2.7;4.0;89.0;0.0;0;0.0;0.0;0.0;23.1;223.2;1021.7;39.8;18.7;25.6;2.1;2;0.34
11.0;8.0;9.4;11.0;4.6;7.3;6.9;84.6;0.001;100;4.17;0.0;0.0;25.1;224.9;1025.9;36.5;21.5;21.6;1.9;2;0.38
10.9;6.6;8.7;10.9;4.5;7.8;6.3;84.9;0.001;100;4.17;0.0;0.0;14.7;199.1;1036.0;77.2;20.9;19.4;1.8;1;0.41
8.5;5.1;6.8;6.9;2.6;4.6;4.5;85.0;0.0;0;0.0;0.0;0.0;14.2;142.8;1039.7;73.1;16.2;14.1;1.4;1;0.44
8.3;3.7;6.2;6.6;0.8;4.1;5.3;94.0;0.0;0;0.0;0.0;0.0;13.0;89.3;1037.5;73.6;10.7;19.6;1.7;2;0.48
7.3;2.3;5.6;5.3;0.3;3.2;5.2;97.4;0.0;0;0.0;0.0;0.0;16.6;75.3;1034.2;90.5;6.0;12.3;1.0;1;0.5
7.0;5.9;6.3;6.3;2.5;3.7;4.7;90.0;0.0;0;0.0;0.0;0.0;20.3;89.2;1027.8;94.9;13.4;9.1;0.9;0;0.54
6.3;4.9;5.7;3.8;1.6;2.6;2.4;79.6;0.0;0;0.0;0.0;0.0;21.6;140.0;1021.8;89.1;16.2;7.4;0.5;0;0.58
10.4;5.5;7.4;10.4;1.3;3.9;5.6;88.4;6.275;100;8.33;0.0;0.0;32.4;136.4;1010.6;85.4;13.7;12.1;0.9;1;0.61
12.6;7.4;10.7;12.6;5.4;10.1;8.7;87.6;0.027;100;12.5;0.0;0.0;21.9;187.8;1001.1;68.0;13.7;19.5;1.7;2;0.65
9.9;3.1;7.5;7.2;0.9;5.4;6.9;95.7;1.562;100;12.5;0.0;0.0;23.1;120.9;998.8;65.5;11.6;9.3;0.8;1;0.68
8.9;6.3;8.1;5.8;3.6;4.5;7.3;94.6;14.606;100;16.67;0.0;0.0;34.3;111.5;996.5;90.1;8.8;2.7;0.0;0;0.72
9.8;3.3;7.9;8.2;1.6;6.2;6.8;92.6;4.619;100;8.33;0.0;0.0;14.5;175.9;995.3;76.0;16.9;22.3;2.0;2;0.75
8.9;1.4;6.3;6.4;-0.7;3.9;5.5;95.2;0.077;100;8.33;0.0;0.0;20.8;81.3;987.7;78.5;14.5;12.8;0.9;1;0.75
7.9;4.6;6.7;6.7;2.4;4.4;5.8;94.1;8.545;100;8.33;0.0;0.0;21.6;294.7;992.6;82.6;11.1;12.2;1.0;1;0.82
13.3;6.1;10.5;13.3;4.6;9.9;7.9;84.2;2.472;100;8.33;0.0;0.0;40.0;212.3;995.4;80.0;16.1;20.2;1.7;1;0.85
13.1;11.7;12.7;13.1;11.7;12.7;11.5;92.3;5.072;100;12.5;0.0;0.0;28.7;211.9;1002.3;83.1;13.0;6.8;0.7;0;0.89
13.7;12.8;13.0;13.7;12.8;13.0;10.2;83.0;2.801;100;8.33;0.0;0.0;33.9;204.8;1006.3;75.2;17.4;24.2;2.1;2;0.92
